target_id,control_population,target,center_time_days,duration_days,depth,snr,local_points,direction
tau-ceti,dimming,HD 10700,1404.4800938850742,0.23199999999999998,7.82064830739948e-05,15.392423346512022,167,dimming
tau-ceti,dimming,HD 10700,1390.4175005060563,0.23199999999999998,5.918390335146739e-05,11.648442173558854,167,dimming
tau-ceti,dimming,HD 10700,1402.5787134915354,0.23199999999999998,5.8965105126929096e-05,11.605378801224719,167,dimming
tau-ceti,dimming,HD 10700,1392.906423910004,0.23199999999999998,4.707448231189293e-05,9.265093277202851,167,dimming
tau-ceti,dimming,HD 10700,1404.5967598328964,0.08,7.842379280176281e-05,9.096364334282727,58,dimming
tau-ceti,dimming,HD 10700,1388.0091248770125,0.23199999999999998,4.60207979846583e-05,9.057709507969363,167,dimming
tau-ceti,dimming,HD 10700,1404.6856481595016,0.052000000000000005,9.095432702843631e-05,8.426170344137956,37,dimming
tau-ceti,dimming,HD 10700,1393.3675405824747,0.23199999999999998,3.914123962023286e-05,7.70369037016868,167,dimming
tau-ceti,dimming,HD 10700,1387.8146765939903,0.10400000000000001,4.6964002517912995e-05,6.194435598345984,75,dimming
tau-ceti,dimming,HD 10700,1400.6801044010424,0.052000000000000005,6.558569337911102e-05,6.07597508118566,37,dimming
tau-ceti,dimming,HD 10700,1400.442604163584,0.11599999999999999,4.301818473395613e-05,6.004788716345418,84,dimming
tau-ceti,dimming,HD 10700,1391.7452977414675,0.23199999999999998,3.019649128355173e-05,5.943205206861458,167,dimming
tau-ceti,dimming,HD 10700,1390.538335717941,0.052000000000000005,6.205407517367867e-05,5.748799700292256,37,dimming
tau-ceti,dimming,HD 10700,1400.1801037658431,0.052000000000000005,6.097089320034055e-05,5.64845179910672,37,dimming
tau-ceti,dimming,HD 10700,1394.127271625182,0.23199999999999998,2.7875986671532793e-05,5.486488730659166,167,dimming
tau-ceti,dimming,HD 10700,1402.449547174398,0.052000000000000005,5.7666222767260855e-05,5.342301262786883,37,dimming
tau-ceti,brightening,HD 10700,1392.6022534560705,0.23199999999999998,0.00014055299150217415,27.663322307604968,167,brightening
tau-ceti,brightening,HD 10700,1390.1383294143145,0.23199999999999998,0.0001374604612489616,27.05465748854764,167,brightening
tau-ceti,brightening,HD 10700,1392.366139331599,0.11599999999999999,0.00010487702199091231,14.639491697515536,84,brightening
tau-ceti,brightening,HD 10700,1386.0229713201072,0.16,8.255049879091203e-05,13.482630408388847,115,brightening
tau-ceti,brightening,HD 10700,1387.6230060787766,0.23199999999999998,5.20128722851787e-05,10.237056036953403,167,brightening
tau-ceti,brightening,HD 10700,1389.8549914657372,0.10400000000000001,6.614309039654209e-05,8.724109781330537,75,brightening
tau-ceti,brightening,HD 10700,1404.7495366364217,0.052000000000000005,9.088340875273992e-05,8.419600349162966,37,brightening
tau-ceti,brightening,HD 10700,1394.4925535888262,0.10400000000000001,6.223604964361584e-05,8.208780784086663,75,brightening
tau-ceti,brightening,HD 10700,1387.2396648523056,0.23199999999999998,3.765774225317209e-05,7.411711769294498,167,brightening
tau-ceti,brightening,HD 10700,1405.0050904789089,0.16,3.793237282900819e-05,6.1953370465040924,115,brightening
tau-ceti,brightening,HD 10700,1386.2160313299391,0.08,5.1757186755096996e-05,6.003308572845407,58,brightening
tau-ceti,brightening,HD 10700,1405.9898051595353,0.16,3.552253611616152e-05,5.801748416274577,115,brightening
tau-ceti,brightening,HD 10700,1404.907868920605,0.11599999999999999,4.138208901061091e-05,5.776410666477369,84,brightening
tau-ceti,brightening,HD 10700,1405.6634189316842,0.16,3.432154602078796e-05,5.605595687736008,115,brightening
tau-ceti,brightening,HD 10700,1393.875879849245,0.16,3.345233214280263e-05,5.463630592014397,115,brightening
tau-ceti,brightening,HD 10700,1392.1328029535155,0.10400000000000001,4.0194463653664414e-05,5.301550190866206,75,brightening
tau-ceti,brightening,HD 10700,1402.8898236390862,0.052000000000000005,5.643952383449502e-05,5.2286576956674695,37,brightening
hd-20794,dimming,HD 20794,1395.130564135117,0.23199999999999998,6.181134577132319e-05,12.749113983827057,167,dimming
hd-20794,dimming,HD 20794,1392.7138647011445,0.08,7.917629484033295e-05,9.624157915920089,58,dimming
hd-20794,dimming,HD 20794,1394.756948190975,0.23199999999999998,4.424368824684777e-05,9.12563571436857,167,dimming
hd-20794,dimming,HD 20794,1390.0790997773229,0.052000000000000005,8.024149333374364e-05,7.790286569223807,37,dimming
hd-20794,dimming,HD 20794,1405.615393478246,0.23199999999999998,3.584844477511062e-05,7.394045589488725,167,dimming
hd-20794,dimming,HD 20794,1405.9598391349111,0.10400000000000001,4.466275087200433e-05,6.173474654799854,75,dimming
hd-20794,dimming,HD 20794,1390.1929906774883,0.08,4.707050610586183e-05,5.721586048685958,58,dimming
hd-20794,dimming,HD 20794,1397.775047294733,0.23199999999999998,2.7382149591637095e-05,5.6478004468225915,167,dimming
hd-20794,brightening,HD 20794,1386.05540778748,0.23199999999999998,8.046807137418455e-05,16.59722177549102,167,brightening
hd-20794,brightening,HD 20794,1395.3764006944186,0.23199999999999998,4.072200542348803e-05,8.399258781952234,167,brightening
hd-20794,brightening,HD 20794,1404.518166415723,0.23199999999999998,3.8845995361302954e-05,8.012315805397593,167,brightening
hd-20794,brightening,HD 20794,1387.6471087710104,0.16,4.091828137298137e-05,7.003576450441955,115,brightening
hd-20794,brightening,HD 20794,1404.6542782082554,0.11599999999999999,4.415339817853692e-05,6.458881935509347,84,brightening
hd-20794,brightening,HD 20794,1402.6125989107204,0.23199999999999998,3.0213077494956053e-05,6.231703322080072,167,brightening
hd-20794,brightening,HD 20794,1389.7068708768027,0.23199999999999998,2.78083511524585e-05,5.735708131264531,167,brightening
hd-20794,brightening,HD 20794,1387.374880900646,0.11599999999999999,3.89565736123032e-05,5.698675978605797,84,brightening
hd-20794,brightening,HD 20794,1392.1735788156277,0.052000000000000005,5.8264236939553626e-05,5.656613351005563,37,brightening
hd-69830,dimming,HD 69830,1491.734881272199,0.052000000000000005,0.00022455557645406632,9.065725810366933,37,dimming
hd-69830,dimming,HD 69830,1515.9283290550406,0.052000000000000005,0.0001663250345967926,6.714850652407439,37,dimming
hd-69830,dimming,HD 69830,1491.84877442752,0.052000000000000005,0.0001643977732889157,6.637043532860287,37,dimming
hd-69830,dimming,HD 69830,1504.9157548074063,0.23199999999999998,6.262735469120262e-05,5.371556855049291,167,dimming
hd-69830,brightening,HD 69830,1502.6726692260618,0.23199999999999998,6.995061724079932e-05,5.999674094609749,167,brightening
