target_id,target,sector_label,depth,duration_days,seed,injected_center_days,local_coverage_fraction,recovered,recovered_center_days,recovered_snr,timing_error_days,background_event_count,background_brightening_event_count,control_maximum_snr,snr_above_control,novel_competing_events
tau-ceti,HD 10700,3,0.004,0.08,0,1403.0189898556407,0.9661016949152542,True,1403.020378739775,450.1280189480923,0.0013888841342577507,16,17,27.663322307604968,422.4646966404873,0
tau-ceti,HD 10700,3,0.004,0.08,1,1398.1773177878251,0.9661016949152542,True,1398.1773177878251,454.0921514400708,0.0,16,17,27.663322307604968,426.4288291324658,0
tau-ceti,HD 10700,3,0.004,0.08,2,1402.128714578535,0.9661016949152542,True,1402.128714578535,455.1574505891019,0.0,16,17,27.663322307604968,427.49412828149696,0
tau-ceti,HD 10700,3,0.004,0.08,3,1401.8884372298535,0.9491525423728814,True,1401.8884372298535,446.04015115561305,0.0,16,17,27.663322307604968,418.3768288480081,0
tau-ceti,HD 10700,3,0.004,0.16,0,1402.2078810803494,0.9827586206896551,True,1402.2078810803494,642.353417534325,0.0,16,17,27.663322307604968,614.69009522672,0
tau-ceti,HD 10700,3,0.004,0.16,1,1398.0967616842954,0.9741379310344828,True,1398.0967616842954,633.1794119958048,0.0,16,17,27.663322307604968,605.5160896881998,0
tau-ceti,HD 10700,3,0.004,0.16,2,1402.102325741803,0.9913793103448276,True,1402.102325741803,647.2307451379783,0.0,16,17,27.663322307604968,619.5674228303733,0
tau-ceti,HD 10700,3,0.004,0.16,3,1401.8884372298535,0.9827586206896551,True,1401.8884372298535,637.7712864375079,0.0,16,17,27.663322307604968,610.1079641299029,0
tau-ceti,HD 10700,3,0.008,0.08,0,1403.0189898556407,0.9661016949152542,True,1403.020378739775,903.0282229849212,0.0013888841342577507,16,17,27.663322307604968,875.3649006773162,0
tau-ceti,HD 10700,3,0.008,0.08,1,1398.1773177878251,0.9661016949152542,True,1398.1773177878251,908.2111366030605,0.0,16,17,27.663322307604968,880.5478142954555,0
tau-ceti,HD 10700,3,0.008,0.08,2,1402.128714578535,0.9661016949152542,True,1402.128714578535,909.2802582039764,0.0,16,17,27.663322307604968,881.6169358963714,0
tau-ceti,HD 10700,3,0.008,0.08,3,1401.8884372298535,0.9491525423728814,True,1401.8884372298535,892.2060326644012,0.0,16,17,27.663322307604968,864.5427103567962,0
tau-ceti,HD 10700,3,0.008,0.16,0,1402.2078810803494,0.9827586206896551,True,1402.2078810803494,1283.0860788532366,0.0,16,17,27.663322307604968,1255.4227565456317,0
tau-ceti,HD 10700,3,0.008,0.16,1,1398.0967616842954,0.9741379310344828,True,1398.0967616842954,1268.2909742622248,0.0,16,17,27.663322307604968,1240.62765195462,0
tau-ceti,HD 10700,3,0.008,0.16,2,1402.102325741803,0.9913793103448276,True,1402.102325741803,1293.5887050282863,0.0,16,17,27.663322307604968,1265.9253827206815,0
tau-ceti,HD 10700,3,0.008,0.16,3,1401.8884372298535,0.9827586206896551,True,1401.8884372298535,1277.6495572282925,0.0,16,17,27.663322307604968,1249.9862349206876,0
hd-20794,HD 20794,3,0.004,0.08,0,1402.105650523503,0.9661016949152542,True,1402.1070394234694,473.21330639875026,0.0013888999662867718,8,9,16.59722177549102,456.61608462325927,0
hd-20794,HD 20794,3,0.004,0.08,1,1394.3930545787514,0.9661016949152542,True,1394.394443485705,472.94046597945123,0.0013889069537071919,8,9,16.59722177549102,456.34324420396024,0
hd-20794,HD 20794,3,0.004,0.08,2,1401.944538091058,0.9491525423728814,True,1401.9459269914903,468.17332406186387,0.0013889004324028065,8,9,16.59722177549102,451.5761022863729,0
hd-20794,HD 20794,3,0.004,0.08,3,1401.6237020283486,0.9491525423728814,True,1401.6223131274503,467.00905511060256,0.0013889008982914675,8,9,16.59722177549102,450.41183333511157,0
