target_id,target,sector_label,depth,duration_days,trials,recovered,completeness,confidence_low,confidence_high,median_timing_error_days,median_recovered_snr,median_snr_above_control,mean_novel_competing_events
tau-ceti,HD 10700,3,5e-05,0.04,16,2,0.125,0.03497748774324047,0.36022827265758695,0.0027778132083540186,6.0754086181640545,-21.587913689440914,0.0
tau-ceti,HD 10700,3,5e-05,0.08,16,7,0.4375,0.23098652405492354,0.6682144360118811,0.0027777733903349144,5.97243821899409,-21.69088408861088,0.0625
tau-ceti,HD 10700,3,5e-05,0.16,16,15,0.9375,0.7167126242970107,0.9888806552353576,0.0013888985697576572,7.368553268566095,-20.294769039038872,0.0
tau-ceti,HD 10700,3,0.0001,0.04,16,16,1.0,0.8063923194655637,1.0,0.0,7.76092486256755,-19.902397445037415,0.0
tau-ceti,HD 10700,3,0.0001,0.08,16,16,1.0,0.8063923194655637,1.0,0.0006944411359199876,10.529396502342847,-17.133925805262123,0.0
tau-ceti,HD 10700,3,0.0001,0.16,16,16,1.0,0.8063923194655637,1.0,0.0013888862297335436,14.524169157682426,-13.139153149922542,0.0
tau-ceti,HD 10700,3,0.0002,0.04,16,16,1.0,0.8063923194655637,1.0,0.0,15.822414377834985,-11.840907929769983,0.0
tau-ceti,HD 10700,3,0.0002,0.08,16,16,1.0,0.8063923194655637,1.0,0.0,21.78581593718679,-5.87750637041818,0.0
tau-ceti,HD 10700,3,0.0002,0.16,16,16,1.0,0.8063923194655637,1.0,0.0,30.389988812054657,2.726666504449689,0.0
hd-20794,HD 20794,3,5e-05,0.04,16,6,0.375,0.18481232558863633,0.6135895945449727,0.0034722644736575603,6.404496258548331,-10.192725516942687,0.0625
hd-20794,HD 20794,3,5e-05,0.08,16,9,0.5625,0.331785563988119,0.7690134759450765,0.0041667124726245675,7.133070419463785,-9.464151356027234,0.0
hd-20794,HD 20794,3,5e-05,0.16,16,16,1.0,0.8063923194655637,1.0,0.009027834182802508,7.480541611108509,-9.116680164382508,0.0625
hd-20794,HD 20794,3,0.0001,0.04,16,16,1.0,0.8063923194655637,1.0,0.0,8.11663673361997,-8.480585041871048,0.0
hd-20794,HD 20794,3,0.0001,0.08,16,16,1.0,0.8063923194655637,1.0,0.0013889048562987227,11.36699772985898,-5.230224045632038,0.0
hd-20794,HD 20794,3,0.0001,0.16,16,16,1.0,0.8063923194655637,1.0,0.0006944484699715758,15.432128493011634,-1.1650932824793845,0.0
hd-20794,HD 20794,3,0.0002,0.04,16,16,1.0,0.8063923194655637,1.0,0.0,16.56520793179217,-0.03201384369884863,0.0
hd-20794,HD 20794,3,0.0002,0.08,16,16,1.0,0.8063923194655637,1.0,0.0013888990348505104,22.999304955977774,6.4020831804867555,0.0
hd-20794,HD 20794,3,0.0002,0.16,16,16,1.0,0.8063923194655637,1.0,0.0,32.10944393550485,15.512222160013833,0.0
hd-69830,HD 69830,7,5e-05,0.04,16,0,0.0,0.0,0.1936076805344365,,,,0.0
hd-69830,HD 69830,7,5e-05,0.08,16,2,0.125,0.03497748774324047,0.36022827265758695,0.013889044220832147,5.397891827004691,-0.6017822676050582,0.0
hd-69830,HD 69830,7,5e-05,0.16,16,2,0.125,0.03497748774324047,0.36022827265758695,0.023611525257592803,5.767947402589076,-0.2317266920206733,0.0
hd-69830,HD 69830,7,0.0001,0.04,16,2,0.125,0.03497748774324047,0.36022827265758695,0.0006944483460529227,6.533660478430525,0.5339863838207757,0.0
hd-69830,HD 69830,7,0.0001,0.08,16,9,0.5625,0.331785563988119,0.7690134759450765,0.009722322012976292,5.814301435246983,-0.18537265936276626,0.0
hd-69830,HD 69830,7,0.0001,0.16,16,14,0.875,0.639771727342413,0.9650225122567595,0.0027778073539366233,5.955583689437571,-0.044090405172178215,0.0
hd-69830,HD 69830,7,0.0002,0.04,16,15,0.9375,0.7167126242970107,0.9888806552353576,0.0013888915696043114,6.868521443039358,0.8688473484296093,0.0
hd-69830,HD 69830,7,0.0002,0.08,16,16,1.0,0.8063923194655637,1.0,0.001388894131082452,9.670033369486227,3.6703592748764766,0.0
hd-69830,HD 69830,7,0.0002,0.16,16,16,1.0,0.8063923194655637,1.0,0.0,12.300935425330955,6.301261330721207,0.0
