depth,duration_days,trials,recovered,completeness,median_timing_error_days,median_recovered_snr,mean_false_events
0.002,0.08,8,0,0.0,,,0.0
0.002,0.16,8,0,0.0,,,0.0
0.002,0.32,8,1,0.125,0.021724248351246978,5.00501235260305,0.0
0.004,0.08,8,1,0.125,0.016137654662717438,5.742288905779872,0.0
0.004,0.16,8,6,0.75,0.016434572403712266,5.485133345291562,0.0
0.004,0.32,8,8,1.0,0.004398760929621659,7.397973398420277,0.0
0.008,0.08,8,8,1.0,0.0035832740752503867,8.008281106769997,0.0
0.008,0.16,8,8,1.0,0.007902588312655112,10.959175699417585,0.0
0.008,0.32,8,8,1.0,0.0035832740752503867,15.676152120163437,0.0
0.012,0.08,8,8,1.0,0.0035832740752503867,12.241045137503502,0.0
0.012,0.16,8,8,1.0,0.007902588312655112,16.476549608714695,0.0
0.012,0.32,8,8,1.0,0.0038801918162469917,23.243402759570387,0.0
